Panal,Module,Item_Format,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55,theta_56,theta_57,theta_58,theta_59,theta_60
assignPanal3,Core_Stage,1,0.33599999999999997,0.383,0.436,0.496,0.565,0.643,0.732,0.833,0.9470000000000001,1.078,1.2229999999999999,1.385,1.567,1.766,1.985,2.221,2.473,2.7359999999999998,3.0060000000000002,3.276,3.539,3.784,4.004,4.188000000000001,4.328,4.42,4.459,4.445,4.378,4.263,4.105,3.912,3.691,3.45,3.198,2.942,2.686,2.439,2.2009999999999996,1.9769999999999999,1.7679999999999998,1.576,1.4,1.24,1.097,0.968,0.853,0.751,0.66,0.5800000000000001,0.51,0.448,0.393,0.345,0.303,0.266,0.23500000000000001,0.206,0.181,0.16,0.14100000000000001
assignPanal3,Core_Stage,total,0.363,0.41200000000000003,0.469,0.5349999999999999,0.609,0.694,0.7909999999999999,0.9,1.025,1.165,1.324,1.501,1.7,1.919,2.158,2.419,2.6980000000000004,2.9930000000000003,3.2969999999999997,3.606,3.9109999999999996,4.202999999999999,4.473,4.713,4.912,5.067,5.170999999999999,5.224,5.227,5.180999999999999,5.091,4.962999999999999,4.805,4.621,4.420999999999999,4.207,3.987,3.7640000000000002,3.542,3.3209999999999997,3.105,2.893,2.6879999999999997,2.488,2.293,2.1069999999999998,1.928,1.7560000000000002,1.593,1.44,1.298,1.165,1.043,0.931,0.8300000000000001,0.738,0.655,0.5800000000000001,0.514,0.455,0.40199999999999997
assignPanal3,Stage_1H,1,0.275,0.314,0.359,0.41000000000000003,0.468,0.535,0.61,0.6950000000000001,0.7909999999999999,0.902,1.025,1.162,1.316,1.487,1.675,1.88,2.105,2.348,2.606,2.877,3.161,3.4530000000000003,3.749,4.045,4.333,4.612,4.875,5.115,5.332,5.519,5.676,5.798,5.886,5.94,5.955,5.934,5.877,5.781,5.647,5.478,5.274,5.037,4.774,4.489,4.186999999999999,3.8770000000000002,3.562,3.2510000000000003,2.95,2.66,2.386,2.1310000000000002,1.896,1.681,1.485,1.31,1.152,1.012,0.887,0.778,0.681
assignPanal3,Stage_1H,total,0.30300000000000005,0.346,0.397,0.453,0.518,0.5920000000000001,0.677,0.772,0.881,1.005,1.143,1.298,1.473,1.669,1.887,2.126,2.389,2.678,2.989,3.324,3.684,4.064,4.465,4.885,5.321,5.774,6.239,6.7170000000000005,7.204000000000001,7.693999999999999,8.18,8.646,9.074,9.439,9.715,9.874,9.899000000000001,9.78,9.522,9.142,8.664,8.118,7.529,6.925000000000001,6.324,5.74,5.183,4.661,4.175,3.727,3.318,2.945,2.6100000000000003,2.306,2.034,1.792,1.575,1.3849999999999998,1.2149999999999999,1.065,0.9329999999999999
assignPanal3,Stage_1L,1,0.455,0.5529999999999999,0.671,0.813,0.987,1.198,1.4500000000000002,1.754,2.117,2.5469999999999997,3.052,3.638,4.308,5.061999999999999,5.889,6.772,7.682,8.582,9.417,10.133,10.678,11.012,11.117999999999999,11.009,10.713000000000001,10.276,9.742,9.147,8.52,7.877000000000001,7.228,6.579000000000001,5.936,5.308,4.702,4.127,3.589,3.097,2.653,2.2560000000000002,1.908,1.607,1.346,1.124,0.937,0.778,0.646,0.534,0.442,0.366,0.30200000000000005,0.25,0.206,0.17,0.14100000000000001,0.11699999999999999,0.097,0.08,0.066,0.054,0.045
assignPanal3,Stage_1L,total,0.512,0.619,0.749,0.905,1.096,1.3239999999999998,1.599,1.9309999999999998,2.328,2.7969999999999997,3.3489999999999998,3.993,4.732,5.567,6.492000000000001,7.494,8.543,9.606,10.634,11.573,12.373,12.991000000000001,13.408999999999999,13.629000000000001,13.671,13.565000000000001,13.337,13.004,12.578,12.063,11.46,10.779,10.036,9.248999999999999,8.443,7.646,6.878,6.157,5.499,4.905,4.379,3.918,3.516,3.165,2.855,2.582,2.335,2.112,1.905,1.713,1.534,1.367,1.212,1.069,0.9380000000000001,0.8190000000000001,0.712,0.618,0.533,0.459,0.394
assignPanal3,Stage_2H,1,0.22299999999999998,0.253,0.288,0.32899999999999996,0.376,0.43,0.495,0.569,0.657,0.758,0.876,1.011,1.168,1.347,1.55,1.779,2.032,2.309,2.609,2.924,3.2479999999999998,3.572,3.886,4.181,4.4430000000000005,4.668,4.849,4.981999999999999,5.068,5.109,5.108,5.067,4.991,4.884,4.7509999999999994,4.595,4.4239999999999995,4.242,4.052,3.8609999999999998,3.669,3.479,3.2910000000000004,3.1029999999999998,2.915,2.7279999999999998,2.54,2.352,2.167,1.9849999999999999,1.8079999999999998,1.6380000000000001,1.4780000000000002,1.3270000000000002,1.1889999999999998,1.062,0.946,0.843,0.75,0.6669999999999999,0.5940000000000001
assignPanal3,Stage_2H,total,0.291,0.33,0.374,0.42500000000000004,0.485,0.5529999999999999,0.633,0.724,0.83,0.953,1.096,1.2590000000000001,1.447,1.66,1.903,2.174,2.476,2.806,3.164,3.542,3.9349999999999996,4.334,4.727,5.104,5.454000000000001,5.7669999999999995,6.034000000000001,6.254,6.422000000000001,6.54,6.6049999999999995,6.622,6.59,6.515,6.399,6.247999999999999,6.067,5.864,5.644,5.412,5.173,4.93,4.683,4.433,4.181,3.927,3.672,3.416,3.161,2.91,2.666,2.43,2.205,1.993,1.795,1.612,1.444,1.292,1.154,1.03,0.919
assignPanal3,Stage_2L,1,0.371,0.444,0.53,0.631,0.753,0.896,1.063,1.26,1.487,1.751,2.051,2.393,2.774,3.1959999999999997,3.654,4.143,4.654,5.176,5.693,6.186999999999999,6.640000000000001,7.031000000000001,7.3389999999999995,7.5489999999999995,7.646999999999999,7.632,7.508000000000001,7.289,6.995,6.65,6.276,5.894,5.5169999999999995,5.154,4.806,4.474,4.152,3.837,3.527,3.22,2.916,2.618,2.331,2.059,1.803,1.568,1.355,1.164,0.996,0.848,0.721,0.61,0.515,0.43499999999999994,0.366,0.308,0.259,0.21800000000000003,0.183,0.154,0.129
assignPanal3,Stage_2L,total,0.393,0.47000000000000003,0.562,0.672,0.802,0.956,1.1380000000000001,1.352,1.601,1.8900000000000001,2.222,2.601,3.0300000000000002,3.508,4.034000000000001,4.605,5.214,5.851,6.504,7.156000000000001,7.789,8.381,8.913,9.363,9.712,9.948,10.065999999999999,10.065999999999999,9.955,9.742,9.442,9.07,8.64,8.164,7.655,7.121,6.573,6.019,5.4670000000000005,4.924,4.396,3.894,3.42,2.982,2.582,2.221,1.9,1.618,1.3719999999999999,1.159,0.977,0.821,0.6890000000000001,0.577,0.483,0.405,0.33799999999999997,0.283,0.236,0.197,0.165
