Item Set,Item Format 3,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55,theta_56,theta_57,theta_58,theta_59,theta_60
S1.10,1,0.13142946321672658,0.15204162771683125,0.1760793935598478,0.2041260896601454,0.23685525075599773,0.2750370359448608,0.3195403368107619,0.3713273424166322,0.4314359870636015,0.5009441602768279,0.5809080601100297,0.6722661670613604,0.7757009782392377,0.891454335175724,1.0191007080382593,1.15729767850666,1.303553972473259,1.4540789734421269,1.6037945085623284,1.7465856703600566,1.8758286097353962,1.9851565558991684,2.06932959183053,2.1250003540378435,2.1511627077087776,2.1491527962676167,2.1222133407597576,2.074768093271768,2.0116226424866954,1.937289285197939,1.8555527235921616,1.76929742811415,1.6805458163922398,1.5906243580880621,1.5003768252134473,1.410365272354026,1.321025733457503,1.232768121797843,1.1460248872575085,1.0612606867788288,0.9789574025973398,0.8995874125685308,0.8235848992384323,0.7513214790849061,0.68308931990844,0.6190925527055572,0.5594462440800123,0.5041813756371496,0.45325400175876734,0.40655683973766465,0.36393182534584284,0.32518252222178534,0.2900856263281513,0.25840111339080785,0.2298808194367586,0.20427542049998265,0.1813398945870773,0.16083761834100685,0.14254328441624692,0.1262448341364693,0.11174459237751347
S1.11,0,0.0092054204133458,0.01149189222203494,0.014342974816670713,0.017896241797874447,0.02232175655103008,0.027829168470126245,0.03467603271396931,0.043177370553362404,0.053716347138178355,0.06675570270918375,0.08284918344315602,0.1026516166261663,0.12692538841299206,0.15653984041027025,0.19245846774501724,0.23570683847638224,0.2873121326249684,0.3482037604633949,0.4190648709178347,0.5001286048570546,0.5909231330135682,0.6899880411448422,0.7946115986331943,0.900669049219237,1.0026638734800666,1.0940675076078543,1.1679993241591704,1.2181848619886335,1.24000492726423,1.2313605548597655,1.1930898442829816,1.1287997995601993,1.0441690820366019,0.945943155163581,0.84090665703042,0.7350672160062006,0.6331676235575189,0.5385244424788903,0.45311438785109054,0.37780460161925694,0.3126350783091611,0.25709029051715876,0.21032661174486417,0.17134453957571724,0.13910833453227997,0.11262209317650591,0.09097295841111612,0.07335132259351693,0.059056003632389505,0.047490335082930296,0.03815331756171605,0.030628566853361537,0.024572760487307634,0.019704568320827495,0.01579457915445074,0.012656436512326225,0.010139217758726433,0.008120990968068845,0.006503434598828045,0.005207386424608955,0.004169187423259008
S1.11,1,0.13119822337157633,0.15161366621427902,0.17510874243667524,0.20210292932073742,0.23305543853835062,0.2684623436790068,0.3088505985172668,0.3547679254603098,0.4067674250788869,0.4653857122561036,0.5311134932545428,0.6043578543158725,0.6853962446303016,0.7743233068112908,0.8709933915020646,0.9749637342377484,1.0854456280002425,1.2012729913873044,1.3208987363432407,1.4424283448062165,1.563696252873414,1.6823837556303713,1.7961679520801603,1.9028817707561656,2.0006583422803685,2.0880319459121717,2.1639742135051656,2.2278576262984693,2.2793554153859787,2.3183029608077272,2.3445559190587475,2.3578815597214753,2.357911761728987,2.344170978945238,2.316174170306858,2.27357279340814,2.216315605760464,2.1447878755585457,2.059898192090606,1.9630945690818118,1.8563073259165748,1.7418310322585238,1.6221680563374838,1.4998601670739375,1.3773324467721366,1.2567672817593818,1.140017884233048,1.0285629089983181,0.9234977387977388,0.8255544873569372,0.7351415449231573,0.6523939847197078,0.5772276594642549,0.5093917280795277,0.4485162250080738,0.39415286750471185,0.34580849179331813,0.30297132040894953,0.2651307483237683,0.23179157239099843,0.20248365356291162
S1.12,0,0.016603750681909377,0.020342027449056485,0.024942573826330246,0.030607948483270364,0.03758856529930926,0.046193754288977415,0.05680515026890459,0.06989274341587667,0.08603386754823392,0.10593525155991242,0.13045795571859847,0.16064446640962216,0.19774630104425514,0.24324900740131894,0.29888922331630946,0.36665529540361486,0.4487587530087476,0.5475589348505387,0.6654182072588468,0.804462664135141,0.9662269155293637,1.1511773828520697,1.3581427506998824,1.583735521557636,1.8219164192694204,2.0639059309163965,2.29863801815406,2.5138357064976224,2.697568291288109,2.8399100275974725,2.934207916514831,2.97759124540235,2.970678075217246,2.916763231586587,2.8209079984149796,2.6892414327798373,2.528546821127136,2.3460178919813215,2.1490225855072476,1.9447846040446537,1.7399988260248054,1.5404628251532302,1.350810610106892,1.17439594107691,1.0133241837633078,0.868597175867468,0.7403223236018366,0.6279408544529916,0.5304425529591414,0.4465483184783378,0.374853458710212,0.3139324170511971,0.2624098942840983,0.21900498748787892,0.1825550123029258,0.15202487814850663,0.12650677191616777,0.10521377742515539,0.08747006431086812,0.07269947405748967,0.06041371325637779
S1.12,1,0.04954037862512451,0.05834260992829103,0.06862850751678909,0.0806168684749962,0.09454654438951073,0.11067323018751522,0.12926365525057953,0.15058632386292742,0.1748978575420324,0.20242398735956119,0.23333440290089005,0.2677110801558452,0.3055104882317913,0.34652130365605693,0.39032096732000304,0.43623649641049034,0.48331709470025275,0.5303277074584485,0.5757729227945788,0.6179586449048078,0.6550941532799879,0.6854296520504699,0.7074154551492068,0.7198609085496751,0.722066899568273,0.7139076148623865,0.6958455537452446,0.668876785574007,0.6344173213276995,0.5941521428032649,0.549873091092169,0.5033299377572324,0.4561121795258491,0.40957018708063503,0.36477599163615326,0.3225179626120183,0.2833204934235815,0.24747922352923085,0.21510346644091552,0.1861595073461692,0.16051058748261338,0.13795127940239402,0.11823539117051937,0.10109749779863784,0.08626875453845097,0.0734879016640109,0.062508424771141,0.05310277085780381,0.04506439834626985,0.038208297987016596,0.03237048435992135,0.027406836243388126,0.023191562953320248,0.019615493092371324,0.016584320024134017,0.014016891919653104,0.011843600387039393,0.01000489769931656,0.008449956097706032,0.007135471627192804,0.006024607935818022
S1.13,0,0.05210469689002994,0.059258728163468624,0.06740354530715027,0.07667763455645601,0.08723895721641145,0.09926766845789332,0.11296919622243042,0.12857771738234028,0.14636006632485538,0.16662010502869695,0.18970357081479733,0.21600339413794808,0.2459654376808998,0.28009453999092077,0.31896063766061966,0.3632045688555285,0.41354289868183347,0.4707707143075096,0.5357607657424256,0.609456521806808,0.6928556224184841,0.7869788270353968,0.8928179673427245,1.0112548807854254,1.142942426779455,1.2881395494855477,1.4464966098096905,1.616796954676424,1.7966777469482802,1.9823774451139398,2.168584783289889,2.3484839846965366,2.514086457460408,2.6568935935907687,2.768844507597989,2.843388816899707,2.8764373130497627,2.8669371301768445,2.816914758988757,2.7309950661865434,2.6155609071006345,2.477796148801981,2.3248340682711803,2.1631449841395227,1.998195522628968,1.8343383333401473,1.6748589167254087,1.5221072449332893,1.3776598292444255,1.2424791322716873,1.1170543549644558,1.0015186234364568,0.8957433551895526,0.7994128862134364,0.7120828852120837,0.6332257327427628,0.5622654773371072,0.498604447608743,0.44164317278336235,0.39079494156115635,0.3454960854565129
S1.13,1,0.030937771362590807,0.037696023863072345,0.04597444577190869,0.056122167108467326,0.06856830540967096,0.08383918019002416,0.10257834865771706,0.12556930969222221,0.15376020282302194,0.18828893388178283,0.23050569973761248,0.2819876191395941,0.3445368410719585,0.4201489062770909,0.510932388696486,0.6189547737785098,0.7459853897861344,0.8931085332462719,1.0601961005080398,1.2452682730712703,1.4438395071474375,1.6484387337376427,1.848574425287989,2.0314223534775446,2.183372770025682,2.292264168794059,2.3497559565456076,2.353073048975807,2.305490540245608,2.2154042462211665,2.09438989841588,1.9549679035246612,1.8087303494969305,1.6651746983161995,1.5312524463371067,1.4114370378639431,1.3080680565975733,1.2217804165744848,1.1519089313098587,1.0968276285338863,1.05422563737654,1.021339984488683,0.9951677762990246,0.972672928678421,0.9509909083557051,0.9276228044624776,0.9006008979324233,0.8686045444070006,0.8310089814884895,0.7878597362533675,0.7397785569678371,0.6878189969361229,0.633297248478468,0.5776248149483554,0.5221647415258652,0.46812474886215083,0.4164915878712956,0.36800353547815023,0.3231533254824471,0.28221200996717083,0.24526462753211684
S1.14,0,0.001695391491383558,0.002098171082043417,0.0025965309367172442,0.0032130942667751745,0.003975808142881118,0.004919179912624936,0.006085792009787568,0.007528153140048229,0.009310953331298239,0.011513799896196376,0.014234519878148326,0.017593120158970837,0.02173649600898007,0.026843967565661615,0.03313369401107863,0.04086995583097985,0.05037119014920932,0.06201848983470141,0.07626400313068622,0.09363825816936357,0.11475484158955226,0.14031004088125126,0.17107399555030345,0.2078686290735454,0.25152630524985903,0.30282212795931507,0.3623727545988105,0.4304965896036625,0.5070356916692463,0.5911501121496946,0.6811113005451994,0.774141012423134,0.8663602408893588,0.9529188443625529,1.0283582029626115,1.0872082686213795,1.1247427170660933,1.1377375204519191,1.1250385168025219,1.0877738130795076,1.029146124657522,0.9538685188642926,0.8674069271363539,0.7752239367230692,0.6821793045287887,0.5921644590538836,0.5079704035517246,0.4313370864586052,0.36311361520867597,0.30346462881360736,0.2520761588014156,0.20833412874632787,0.1714646216348964,0.14063549162445474,0.11502441325193498,0.09386048886144317,0.07644650306357331,0.06216789520368791,0.05049319341780179,0.040969378910669624,0.03321458177408153
S1.14,1,0.12547768895205824,0.14401150875503302,0.1652660429348959,0.189554824904075,0.21719257204084708,0.2484797742339209,0.2836814923442045,0.3229996064497561,0.36653824993470385,0.4142630521563466,0.46595616934735734,0.5211709113478946,0.5791919188109106,0.639008930822543,0.6993135575006004,0.758528277815261,0.8148742685872863,0.8664791786999984,0.9115179884657653,0.9483711907950855,0.9757772666013813,0.9929536292457499,0.9996637678736554,0.9962180800573315,0.9834093649319674,0.9623971442619416,0.9345639833736465,0.9013695576198384,0.8642244916188963,0.8243980921172256,0.7829649256992393,0.740787313729025,0.6985257002273481,0.6566667848000199,0.6155597433952227,0.5754528447404286,0.5365253770303176,0.4989123216337595,0.46272123298745405,0.42804214794151973,0.3949520760395738,0.3635158385245364,0.3337848896789623,0.30579542499530954,0.2795666823919761,0.2550999623615808,0.23237858037003323,0.21136873957539865,0.1920211725051802,0.17427333304107437,0.15805190621595977,0.14327542416561884,0.12985681610592573,0.11770576638257786,0.10673079941926034,0.09684104914863631,0.08794770121746787,0.07996511863901727,0.07281167639764,0.06641033907770943,0.0606890193228386
S1.15,1,0.026671234350990697,0.030078505617747883,0.033995856390711995,0.03851129097680178,0.04372933751335388,0.04977417064342262,0.05679325618945055,0.06496156185337419,0.0744863558144032,0.08561257444319878,0.09862867204731447,0.11387275716209513,0.13173865519362707,0.1526812963266498,0.17722048839203838,0.20594167642456326,0.23949170370843406,0.27856688881776653,0.3238899866836669,0.37617196537725567,0.436054296214381,0.5040280931474952,0.580328601285189,0.6648079669716723,0.7567964833328304,0.8549724511638981,0.957271846659917,1.060877483240247,1.1623276215195826,1.2577699480154838,1.3433555535869979,1.4157234636724052,1.4724833746913435,1.5125823729269867,1.5364563789586028,1.5459196330623906,1.5438176455704593,1.5335319851265692,1.5184553150940114,1.501545429581995,1.4850285505824175,1.4702741965587787,1.457823401751912,1.4475273668457969,1.438745057552588,1.4305517796419673,1.4219215437003916,1.4118602966097888,1.3994821286888253,1.3840341656211235,1.3648860001123804,1.3415045682552575,1.3134345915963745,1.2802986759015451,1.2418218073133787,1.1978751096319333,1.1485261818363817,1.0940801818161952,1.0350976899341982,0.9723813183322126,0.9069308880649398
